Date,IOCJ Weekly shipment
6/4/2025,334.5
13/4/2025,325.5
20/4/2025,175.2
27/4/2025,293.5
4/5/2025,258.8
11/5/2025,226.3
18/5/2025,308.7
25/5/2025,356.1
1/6/2025,338.8
8/6/2025,291.6
15/6/2025,301.8
22/6/2025,358.2
29/6/2025,305.6
6/7/2025,281.8
13/7/2025,393.5
20/7/2025,333.4
27/7/2025,353
3/8/2025,337.2
10/8/2025,309.9
,
,
,
,
,
,
,
,
,
